gene, test statistic, p-value, number of groups
p0398-p0108-p0147-p0309-p0199,2.847417669768317,0.035,2
p0326-p0062-p0299-p0027-p0090,1.3206567634311728,0.213,2
p0086-p0094-p0261-p0262-p0119,0.913707696730472,0.609,2
p0160-p0242-p0139-p0293-p0181,0.189632390350233,0.87,2
p0232-p0357-p0282-p0127-p0036,0.8620942332651359,0.633,2
p0193-p0253-p0042-p0179-p0222,1.287999904025002,0.372,2
p0049-p0249-p0340-p0129-p0345,1.7265117274648647,0.235,2
p0198-p0294-p0188-p0322-p0092,1.8866093150731835,0.177,2
p0188-p0134-p0377-p0123-p0346,2.0272137520954425,0.056,2
p0345-p0280-p0141-p0272-p0067,1.7812315062752162,0.156,2
p0342-p0393-p0310-p0175-p0108,2.0031545922034293,0.07,2
p0110-p0135-p0010-p0179-p0263,0.8285805761171942,0.652,2
p0355-p0328-p0278-p0148-p0040,0.8091938376141269,0.647,2
p0081-p0256-p0028-p0120-p0034,1.6149870914185906,0.13,2
p0074-p0333-p0018-p0248-p0136,1.655194600373942,0.096,2
p0134-p0181-p0045-p0024-p0169,2.033317136472123,0.041,2
p0165-p0105-p0345-p0294-p0257,2.2532837130062324,0.072,2
